ISIN,name,ticker,bourso_symbol
FR0000045072p,Credit Agricole,ACA,1rPACA
FR0000051807p,Teleperformance,TEP,1rPTEP
FR0000052292p,Hermes,RMS,1rPRMS
FR0000073272p,Safran,SAF,1rPSAF
FR0000120073p,Air Liquide,AI,1rPAI
FR0000120172p,Carrefour,CA,1rPCA
FR0000120271p,TotalEnergies,TTE,1rPTTE
FR0000120321p,L'oreal,OR,1rPOR
FR0000120503p,Bouygues,EN,1rPEN
FR0000120578p,Sanofi,SAN,1rPSAN
FR0000120628p,Axa,CS,1rPCS
FR0000120644p,Danone,BN,1rPBN
FR0000120693p,Pernod Ricard,RI,1rPRI
FR0000121014p,Lvmh,MC,1rPMC
FR0000121329p,Thales,HO,1rPHO
FR0000121485p,Kering,KER,1rPKER
FR0000121667p,EssilorLuxottica,EL,1rPEL
FR0000121972p,Schneider Electric,SU,1rPSU
FR0000124141p,Veolia Environ.,VIE,1rPVIE
FR0000125007p,Saint Gobain,SGO,1rPSGO
FR0000125338p,CapGemini,CAP,1rPCAP
FR0000125486p,Vinci,DG,1rPDG
FR0000127771p,Vivendi,VIV,1rPVIV
FR0000130577p,Publicis Groupe,PUB,1rPPUB
FR0000130809p,Societe Generale,GLE,1rPGLE
FR0000131104p,Bnp Paribas,BNP,1rPBNP
FR0000131906p,Renault,RNO,1rPRNO
FR0000133308p,Orange,ORA,1rPORA
FR0010208488p,Engie,ENGI,1rPENGI
FR0010220475p,Alstom,ALO,1rPALO
FR0010307819p,Legrand SA,LR,1rPLR
FR0011981968p,Worldline,WLN,1rPWLN
FR0013326246p,Unibail Rodamco Wes,URW,1rAURW
FR0014000MR3p,Eurofins Scient.,ERF,1rPERF
FR0014003TT8p,Dassault Systemes,DSY,1rPDSY
FR001400AJ45p,Michelin,ML,1rPML
LU1598757687p,Arcelor Mittal,MT,1rAMT
NL0000226223p,Stmicroelectronics,STM,1rPSTM
NL0000235190p,Airbus,AIR,1rPAIR
NL00150001Q9p,Stellantis,STLA,1rPSTLA
BE0003470755g,Solvay,SOLB,1rPSOLB
FR0000031122p,Air France - KLM,AF,1rPAF
FR0000031577p,Virbac,VIRP,1rPVIRP
FR0000033219p,Altarea,ALTA,1rPALTA
FR0000035081p,Icade,ICAD,1rPICAD
FR0000039299p,Bollore,BOL,1rPBOL
FR0000044448p,Nexans,NEX,1rPNEX
FR0000045072p,Credit Agricole,ACA,1rPACA
FR0000050809p,Sopra Steria Group,SOP,1rPSOP
FR0000051732p,Atos,ATO,1rPATO
FR0000051807p,Teleperformance,TEP,1rPTEP
FR0000052292p,Hermes,RMS,1rPRMS
FR0000053225p,Metropole Tv,MMT,1rPMMT
FR0000053381p,Derichebourg,DBG,1rPDBG
FR0000054470p,Ubisoft Entertainment,UBI,1rPUBI
FR0000054900p,Tf1,TFI,1rPTFI
FR0000064578p,Covivio,COV,1rPCOV
FR0000071946p,Alten,ATE,1rPATE
FR0000073272p,Safran,SAF,1rPSAF
FR0000073298p,Ipsos,IPS,1rPIPS
FR0000077919p,Jc Decaux Sa.,DEC,1rPDEC
FR0000120073p,Air Liquide,AI,1rPAI
FR0000120172p,Carrefour,CA,1rPCA
FR0000120271p,TotalEnergies,TTE,1rPTTE
FR0000120321p,L'oreal,OR,1rPOR
FR0000120404p,Accor Hotels,AC,1rPAC
FR0000120503p,Bouygues,EN,1rPEN
FR0000120578p,Sanofi,SAN,1rPSAN
FR0000120628p,Axa,CS,1rPCS
FR0000120644p,Danone,BN,1rPBN
FR0000120693p,Pernod Ricard,RI,1rPRI
FR0000120859p,Imerys,NK,1rPNK
FR0000120966p,Bic,BB,1rPBB
FR0000121014p,Lvmh,MC,1rPMC
FR0000121121p,Eurazeo,RF,bourse
FR0000121147p,Faurecia,EO,1rPEO
FR0000121204p,Wendel Invest.,MF,1rPMF
FR0000121220p,Sodexo,SW,1rPSW
FR0000121329p,Thales,HO,1rPHO
FR0000121485p,Kering,KER,1rPKER
FR0000121667p,EssilorLuxottica,EL,1rPEL
FR0000121709p,Seb,SK,1rPSK
FR0000121964p,Klepierre,LI,1rPLI
FR0000121972p,Schneider Electric,SU,1rPSU
FR0000124141p,Veolia Environ.,VIE,1rPVIE
FR0000124570p,Plastic Omnium,POM,1rPPOM
FR0000125007p,Saint Gobain,SGO,1rPSGO
FR0000125338p,CapGemini,CAP,1rPCAP
FR0000125486p,Vinci,DG,1rPDG
FR0000125585p,Casino Guichard,CO,1rPCO
FR0000127771p,Vivendi,VIV,1rPVIV
FR0000130395p,Remy Cointreau,RCO,1rPRCO
